name,state,place_type,subtype,favorite,lon,lat
Rolfe C. Hoyer,AZ,camps,NF,FALSE,-109.454,34.034
Roper Lake State Park,AZ,camps,SP,FALSE,-109.71,32.759
Rose Canyon,AZ,camps,NF,FALSE,-110.704,32.393
Rose Creek,AZ,camps,NF,FALSE,-110.979,33.83
Rucker Forest Camp,AZ,camps,NF,FALSE,-109.303,31.784
Rucker Lake,AZ,camps,NF,FALSE,-109.31,31.78
Rustler Park,AZ,camps,NF,FALSE,-109.279,31.905
Sawmill Flats,AZ,camps,NF,FALSE,-110.988,0
Schoolhouse,AZ,camps,NF,FALSE,-111.013,33.648
Scott Reservoir,AZ,camps,NF,FALSE,-109.96,34.176
Second Crossing,AZ,camps,NF,FALSE,-111.283,34.356
Seven Springs,AZ,camps,NF,FALSE,-111.863,33.966
Shannon,AZ,camps,NF,FALSE,-109.858,32.657
Sharp Creek,AZ,camps,NF,FALSE,-110.996,34.307
Show Low Lake,AZ,camps,CP,FALSE,-110.007,34.195
Shush Be Tou,AZ,camps,RES,FALSE,-109.733,34.063
Shush Bezahze,AZ,camps,RES,FALSE,-109.724,34.056
Sinkhole,AZ,camps,NF,FALSE,-110.886,34.306
Soldier Creek,AZ,camps,NF,FALSE,-109.92,32.699
Spencer Canyon,AZ,camps,NF,FALSE,-110.74,32.417
Spillway,AZ,camps,NF,FALSE,-110.936,34.332
Squaw Lake,AZ,camps,BLM,FALSE,-114.474,32.902
Stewart,AZ,camps,NF,FALSE,-109.167,31.891
Stockton Pass,AZ,camps,NF,FALSE,-109.849,32.592
Strayhorse,AZ,camps,NF,FALSE,-109.318,33.55
Sulphide Del Ray,AZ,camps,NF,FALSE,-110.868,33.293
Summit,AZ,camps,RES,FALSE,-109.201,35.679
Sunny Flat,AZ,camps,NF,FALSE,-109.175,31.885
Sunrise Lake,AZ,camps,RES,FALSE,-109.548,33.992
Swansea Ghost Town,AZ,camps,BLM,FALSE,-113.843,34.171
Temple Bar Marina - Lake Mead National Rec Area,AZ,camps,NRA,FALSE,-114.325,36.032
TenX,AZ,camps,NF,FALSE,-112.123,35.938
Third Crossing,AZ,camps,NF,FALSE,-111.281,34.365
Timber Camp,AZ,camps,NF,FALSE,-110.571,33.688
Tonto Creek,AZ,camps,NF,FALSE,-111.093,34.329
Tortilla,AZ,camps,NF,FALSE,-111.396,33.529
Trailer Village - Grand Canyon National Park,AZ,camps,NP,FALSE,-112.113,36.053
Twin Peaks - Organ Pipe Cactus National Monument,AZ,camps,NM,FALSE,-112.811,31.942
Upper Burnt Corral,AZ,camps,NF,FALSE,-111.203,33.633
Upper Canyon Creek,AZ,camps,NF,FALSE,-110.806,34.288
Upper Juan Miller,AZ,camps,NF,FALSE,-109.347,33.269
Upper Tonto Creek,AZ,camps,NF,FALSE,-111.094,34.339
Usery Mountain,AZ,camps,CP,FALSE,-111.619,33.476
Valentine Ridge,AZ,camps,NF,FALSE,-110.797,34.244
Virgin River,AZ,camps,BLM,FALSE,-113.794,36.951
Vulture Peak Rd - Box Wash dispersed,AZ,camps,BLM,FALSE,-112.821,33.881
Wahweap - Glen Canyon National Rec Area,AZ,camps,NRA,FALSE,-111.496,36.996
Water Wheel,AZ,camps,NF,FALSE,-111.286,34.352
Watson Lake Park,AZ,camps,CP,FALSE,-112.422,34.592
West Fork,AZ,camps,NF,FALSE,-109.413,33.79
West Turkey Creek,AZ,camps,NF,FALSE,-109.359,31.865
Wheatfields Lake,AZ,camps,RES,FALSE,-109.092,36.215
White Horse Lake,AZ,camps,NF,FALSE,-112.017,35.119
White Rock,AZ,camps,NF,FALSE,-111.089,31.395
White Spar,AZ,camps,NF,FALSE,-112.477,34.509
White Tank Mountain,AZ,camps,CP,FALSE,-112.499,33.566
Whitewater Draw,AZ,camps,BLM,FALSE,-109.721,31.562
Wild Cow Springs,AZ,camps,BLM,FALSE,-113.871,35.065
Wiley Wells Dispersed  - Mule Mountain,AZ,camps,BLM,FALSE,-114.888,33.494
Willow Beach  - Lake Mead National Rec Area,AZ,camps,NRA,FALSE,-114.66,35.87
Windy Hill,AZ,camps,NF,FALSE,-111.087,33.667
Windy Point,AZ,camps,BLM,FALSE,-114.161,35.436
Winn,AZ,camps,NF,FALSE,-109.484,33.965
Yavapai,AZ,camps,NF,FALSE,-112.545,34.613
Yuma VFW,AZ,camps,BLM,FALSE,-114.423,32.728
Alamosa,CO,camps,NF,FALSE,-106.345,37.379
Almont,CO,camps,NF,FALSE,-106.858,38.654
Alvarado,CO,camps,NF,FALSE,-105.562,38.08
Amphitheater,CO,camps,NF,FALSE,-107.665,38.019
Angel of Shavano,CO,camps,NF,FALSE,-106.221,38.583
Ansel Watrous,CO,camps,NF,FALSE,-105.35,40.689
Arapaho Bay,CO,camps,NF,FALSE,-105.76,40.121
Arkansas Point - Lake Pueblo State Park,CO,camps,SP,FALSE,-104.733,38.251
Aspen,CO,camps,NF,FALSE,-106.032,40.517
Aspen,CO,camps,NF,FALSE,-105.843,39.425
Aspen Glade,CO,camps,NF,FALSE,-106.275,37.073
Aspen Glen,CO,camps,NF,FALSE,-105.819,40.619
Aspen Grove - Vega State Park,CO,camps,SP,FALSE,-107.78,39.222
Aspen Meadow  - Golden Gate Canyon State Park,CO,camps,SP,FALSE,-105.416,39.864
Aspenglen - Rocky Mountain National Park,CO,camps,NP,FALSE,-105.594,40.4
Avalanche,CO,camps,NF,FALSE,-107.204,39.236
Baby Doe,CO,camps,NF,FALSE,-106.351,39.27
Bear Creek Lake Park,CO,camps,CP,FALSE,-105.177,39.654
Bear Lake,CO,camps,NF,FALSE,-105.143,37.326
Bear Lake,CO,camps,NF,FALSE,-107.07,40.045
Beaver Creek,CO,camps,NF,FALSE,-106.676,37.617
Beaver Creek Unti - Hot Sulphur State Wildlife Area,CO,camps,SP,FALSE,-106.133,40.053
Beaver Lake,CO,camps,NF,FALSE,-107.545,38.25
Bellaire Lake,CO,camps,NF,FALSE,-105.617,40.771
Belle of Colorado,CO,camps,NF,FALSE,-106.349,39.269
Big Bend,CO,camps,NF,FALSE,-105.724,40.708
Big Blue,CO,camps,NF,FALSE,-107.385,38.217
Big Cimarron,CO,camps,NF,FALSE,-107.545,38.258
Big Creek,CO,camps,NF,FALSE,-107.883,39.078
Big Creek Lakes,CO,camps,NF,FALSE,-106.609,40.935
Big Dominguez,CO,camps,BLM,FALSE,-108.55,38.745
Big Meadows,CO,camps,NF,FALSE,-106.795,37.54
Big South,CO,camps,NF,FALSE,-105.807,40.633
Blacktail Creek,CO,camps,NF,FALSE,-106.581,40.067
Blanco River,CO,camps,NF,FALSE,-106.885,37.145
Blodgett,CO,camps,NF,FALSE,-106.366,39.472
Blue Lake,CO,camps,NF,FALSE,-105.139,37.313
Blue Mountain,CO,camps,NF,FALSE,-105.362,38.961
Blue River,CO,camps,NF,FALSE,-106.131,39.726
Bockman - State Forest State Park,CO,camps,SP,FALSE,-105.965,40.56
Bogan Flats,CO,camps,NF,FALSE,-107.262,39.1
Bonham Lake City Park,CO,camps,CP,FALSE,-107.898,39.104
Boulder County Fairground,CO,camps,CP,FALSE,-105.126,40.155
Boyd Lake State Park,CO,camps,SP,FALSE,-105.058,40.43
Bradfield,CO,camps,NF,FALSE,-108.738,37.657
Bridge,CO,camps,NF,FALSE,-107.199,37.465
Bristol Head,CO,camps,NF,FALSE,-107.144,37.818
Browns Park,CO,camps,NF,FALSE,-105.927,40.796
Brush Memorial RV Park,CO,camps,CP,FALSE,-103.625,40.249
Buckeye,CO,camps,NF,FALSE,-109.045,38.44
Buckingham,CO,camps,CP,FALSE,-105.634,39.994
Buffalo,CO,camps,NF,FALSE,-105.329,39.341
Buffalo Pass,CO,camps,NF,FALSE,-106.517,38.185
Buffalo Springs,CO,camps,NF,FALSE,-105.987,39.032
Burning Bear,CO,camps,NF,FALSE,-105.711,39.513
Burro Bridge,CO,camps,NF,FALSE,-108.066,37.788
Byers Creek,CO,camps,NF,FALSE,-105.897,39.876
Cabin Canyon,CO,camps,NF,FALSE,-108.694,37.63
Camp Dick,CO,camps,NF,FALSE,-105.521,40.128
Camp Hale Memorial,CO,camps,NF,FALSE,-106.314,39.42
Carp Lake,CO,camps,NF,FALSE,-107.983,39.042
Carpios Ridge - Trinidad Lake State Park,CO,camps,SP,FALSE,-104.57,37.144
Carter Lake - North Side Campgrounds,CO,camps,CP,FALSE,-105.22,40.355
Carter Lake - South Side Campgrounds,CO,camps,CP,FALSE,-105.209,40.32
Cascade,CO,camps,NF,FALSE,-106.245,38.71
Casey Jones Park,CO,camps,CP,FALSE,-104.584,39.364
Catamount,CO,camps,BLM,FALSE,-106.832,39.891
Cataract Creek,CO,camps,NF,FALSE,-106.307,39.837
Cathedral,CO,camps,NF,FALSE,-106.605,37.822
Cayton,CO,camps,NF,FALSE,-107.977,37.77
Cebolla,CO,camps,NF,FALSE,-107.1,38.047
Cement Creek,CO,camps,NF,FALSE,-106.837,38.828
Chalk Lake,CO,camps,NF,FALSE,-106.233,38.713
Chambers Lake,CO,camps,NF,FALSE,-105.852,40.597
Chapman,CO,camps,NF,FALSE,-106.637,39.309
Chapman Reservoir,CO,camps,NF,FALSE,-107.091,40.186
Chatfield State Park,CO,camps,SP,FALSE,-105.063,39.539
Cherry Creek State Park,CO,camps,SP,FALSE,-104.829,39.647
Cheyenne Mountain State Park,CO,camps,SP,FALSE,-104.809,38.738
Cimarron - Curecanti National Rec Area,CO,camps,NRA,FALSE,-107.554,38.442
Cimarrona,CO,camps,NF,FALSE,-107.209,37.539
Clear Creek RV Park,CO,camps,CP,FALSE,-105.231,39.754
Clear Lake,CO,camps,NF,FALSE,-105.708,39.652
Coaldale,CO,camps,NF,FALSE,-105.804,38.334
Coffee Pot Spring,CO,camps,NF,FALSE,-107.204,39.676
Cold Spring,CO,camps,NF,FALSE,-106.642,38.767
Cold Springs,CO,camps,NF,FALSE,-107.119,40.03
Cold Springs,CO,camps,NF,FALSE,-105.497,39.842
Collbran - Cottonwood Lake,CO,camps,NF,FALSE,-107.957,39.081
Collegiate Peaks,CO,camps,NF,FALSE,-106.316,38.813
Colorado,CO,camps,NF,FALSE,-105.094,39.08
Columbine,CO,camps,NF,FALSE,-105.549,39.817
Columbine,CO,camps,NF,FALSE,-108.381,38.424
Comanche,CO,camps,NF,FALSE,-106.603,38.599
Comstock,CO,camps,NF,FALSE,-106.362,37.445
Conejos,CO,camps,NF,FALSE,-106.444,37.171
Cottonwood Lake,CO,camps,NF,FALSE,-106.292,38.782
Cove,CO,camps,NF,FALSE,-105.461,38.909
Cow Creek,CO,camps,NF,FALSE,-106.279,39.875
Crags,CO,camps,NF,FALSE,-105.12,38.871
Crawford State Park,CO,camps,SP,FALSE,-107.599,38.688
Crook - Browns Wildlife Area,CO,camps,SFW,FALSE,-108.923,40.81
Crosho Lake Recreation Area,CO,camps,NF,FALSE,-107.052,40.17
Cross Creek,CO,camps,NF,FALSE,-106.65,37.581
Crow Valley,CO,camps,NF,FALSE,-104.343,40.644
Davenport,CO,camps,NF,FALSE,-105.071,38.055
Davis Springs,CO,camps,NF,FALSE,-106.231,39.838
Dearhamer,CO,camps,NF,FALSE,-106.738,39.361
Deep Lake,CO,camps,NF,FALSE,-107.302,39.772
Deer Creek,CO,camps,NF,FALSE,-105.554,39.508
Deer Lakes,CO,camps,NF,FALSE,-107.188,38.022
Deerlodge Park - Dinosaur National Monument,CO,camps,NM,FALSE,-108.523,40.45
Del Norte City Park,CO,camps,CP,FALSE,-106.353,37.683
Denver Creek,CO,camps,NF,FALSE,-106.079,40.255
Devils Head,CO,camps,NF,FALSE,-105.103,39.271
Dexter,CO,camps,NF,FALSE,-106.325,39.092
Difficult,CO,camps,NF,FALSE,-106.774,39.141
Dinner Station,CO,camps,NF,FALSE,-106.587,38.905
Divide Fork,CO,camps,NF,FALSE,-108.689,38.684
Dorchester,CO,camps,NF,FALSE,-106.663,38.965
Dowdy Lake,CO,camps,NF,FALSE,-105.557,40.791
Dry Gulch - Curecanti Area,CO,camps,NP,FALSE,-107.187,38.481
Dry Lake,CO,camps,NF,FALSE,-106.781,40.536
Duffy Mountain - Yampa River State Park,CO,camps,SP,FALSE,-107.896,40.435
Dumont Lake,CO,camps,NF,FALSE,-106.627,40.405
Dutch George,CO,camps,NF,FALSE,-105.444,40.697
Early Settlers - Vega State Park,CO,camps,SP,FALSE,-107.811,39.215
East Beach - Bonny Lake State Park,CO,camps,SP,FALSE,-102.17,39.613
East Cross Mountain - Yampa River State Park,CO,camps,SP,FALSE,-108.321,40.482
East Fork,CO,camps,NF,FALSE,-106.889,37.377
East Marvine,CO,camps,NF,FALSE,-107.426,40.011
