name,state,lon,lat,website
Spread Eagle Barrens,WI,-88.145,45.88,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3686
Headwaters Wilderness,WI,-88.9,45.9,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3688
South Shore Wetlands,WI,-91.4,46.7833,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3710
Lauterman Lake,WI,-88.52,46.93,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3687
Upper Wisconsin River Wetlands and Pines,WI,-89.2389,46.09,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3690
Rainbow Flowage and Peatlands,WI,-89.4817,45.8453,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3691
Central Northern Highlands,WI,-89.6,46,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3692
Manitowish Peatlands,WI,-89.95,46.1167,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3695
Moose Junction Peatlands,WI,-92.0678,46.4053,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3706
Upper Chippewa Conifer-Hardwood Forest,WI,-90.7181,46.0494,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3698
Owen-Teal Forest,WI,-91.55,46.1833,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3700
Gladwin Lake Plain,MI,-84.33333,43.88333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3775
Namekagon-Solon Springs Barrens,WI,-91.9881,46.1925,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3705
Apostle Islands National Lakeshore,WI,-90.68,46.93,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3709
Moquah Barrens,WI,-91.25,46.62,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3702
Wigwam Bay marshes (inc. Rifle River mouth),MI,-83.83333,43.98333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3776
Hennepin and Hopper Lake,IL,-89.333,41.217,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1668
Kakagon-Bad River Wetlands & Forest Corridor,WI,-90.7,46.6333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3707
Peshekee HIghlands LTA,MI,-88.0278,46.6162,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3908
Manistee National Forest Red-shouldered Hawk IBA,MI,-85.91932,44.50172,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3890
Big Bog IBA,MN,-94.2,48.3,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2911
St. Croix - Wild River S.P. IBA,MN,-92.87556,45.56806,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2919
Squaw Creek National Wildlife Refuge-23,MO,-95.253,40.088,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2542
Winegar Moraine and Iron Co. Northern Goshawk IBA,MI,-89.25,46.23333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3767
Indiana Dunes State Park,IN,-87.037,41.6631,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2068
"Oakwood Bottoms, Shawnee National Forest",IL,-89.46,37.74,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1695
Banner Marsh State Fish and Wildlife Area,IL,-89.84351,40.53448,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1675
Hoosier National Forest - Pleasant Run Unit,IN,-86.2488,39.0708,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2544
McGregor IBA,MN,-93.3475,46.5675,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2426
Goose Pond/Beehunter Marsh Fish and Wildlife Area,IN,-87.1833,38.9899,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2126
Wayne National Forest-Marietta,OH,-81.39167,39.36444,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2064
Ted Shanks Alluvial Complex-31,MO,-91.149,39.538,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2549
Lincoln Alluvial Complex-32,MO,-90.741,39.185,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2520
Western Cherokee Prairies-12,MO,-94.537,37.473,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2573
Crex Meadows State Wildlife Area,WI,-92.42169,45.86444,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2730
Bluestem Prairie-Buffalo River IBA,MN,-96.45,46.831,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2903
Hoosier National Forest - Tell City Unit,IN,-86.527,38.194,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3045
Otis Sanctuary,MI,-85.38944,42.60056,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3579
Governor Dodge State Park,WI,-90.1114,43.0225,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3639
Quincy Bluff,WI,-89.8717,43.8836,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3647
Necedah National Wildlife Refuge,WI,-90.05,44.25,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3648
Little Bay de Noc (inc. Portage Marsh & Aronson Island sandbar),MI,-87.02417,45.8175,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3780
Rothsay Prairie,MN,-96.365,46.515,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3967
Bibon Swamp,WI,-91.1006,46.405,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3701
Dunbar Barrens,WI,-88.25,45.68,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3674
Mink River Estuary-Newport State Park,WI,-87,45.23,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3669
Mackinac Straits Hawk Watch,MI,-84.7509,45.8054,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3823
St. Peter's Dome-North Country,WI,-90.8936,46.3233,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3699
