lon,lat,name,type,open,sites,elev,amenities,state
-109.885,33.995,Lower Log,RES, ,100,6161,NH ND VT DW NS ,AZ
-112.460,34.455,Lower Wolf Creek,NF,mid may-mid oct,20,6033,NH ND 40ft VT NW NS NR L$ ,AZ
-109.082,33.835,Luna Lake,NF,mid may-mid nov,50,7986,NH ND 32ft VT DW NS RS PA L$ ,AZ
-109.376,34.359,Lyman Lake State Park,SP,all year,61,6004,E DP 35ft FT DW SH RS L$ ,AZ
-112.388,34.517,Lynx Lake,NF,mid apr-mid oct,36,5640,NH ND 40ft VT DW NS NR ,AZ
-111.745,34.936,Manzanita,NF,all year,18,4823,NH ND VT DW NS RS ,AZ
-112.120,36.050,Mather - Grand Canyon National Park,NP,all year,317,7001,NH DP 30ft FT DW RS PA ,AZ
-109.730,34.045,McCoy Bridge,RES, ,10,7772,VT DW ,AZ
-111.722,33.684,McDowell Mountain,CP, ,76,1880,WE DP 45ft FT DW SH ,AZ
-110.645,34.968,McHood,CP,all year,11,4888,NH DP 25ft FT DW SH N$ ,AZ
-114.659,33.727,Midland LTVA Dispersed,BLM, , , ,NH ND NT NW NS NR ,AZ
-111.194,33.701,Mills Cove,NF, ,10,2182,NR ,AZ
-112.120,34.693,Mingus Mountain,NF,mid may-mid oct,25,7657,E ND 22ft VT NW NS NR N$ ,AZ
-110.113,36.981,Mitten View - Monument Valley,RES, ,100,5607,NH DP 35ft FT DW L$ ,AZ
-114.472,32.817,Mittry Lake Dispersed,BLM, , , ,NH ND NT NW NS NR ,AZ
-110.957,34.321,Mogollon,NF,mid may-mid oct,26,7671,NH DP 32ft VT DW NS NR ,AZ
-110.692,32.337,Molino Basin,NF,early nov-late jun,37,4347,NH ND 22ft VT NW NS NR PA L$ ,AZ
-110.543,36.682,Navajo National Monument,NM,all year,30,7297,NH 27ft VT DW NS NR N$ ,AZ
-114.435,34.714,Needle Mt Road Dispersed,BLM, , , ,NH ND NT NW NS NR N$ ,AZ
-112.061,36.211,North Rim - Grand Canyon National Park,NP,mid may-late nov,82,8333,NH ND 30ft FT DW SH RS PA ,AZ
-111.051,33.308,Oak Flat,NF, ,16,3937,NH ND 16ft VT NW NS NR N$ ,AZ
-111.253,33.762,Orange Peel,NF, ,20,2126,NR ,AZ
-109.309,32.967,Owl Creek,BLM, ,7,3402,NH ND VT DW NS NR ,AZ
-114.723,33.396,Oxbow,BLM, , , ,VT NR ,AZ
-109.535,33.773,Pacheta Lake,RES, ,10,8271,NH ND VT DW NS ,AZ
-114.170,35.452,Packsaddle,BLM, ,7,6119,VT NW NR ,AZ
-113.048,33.023,Painted Rock,BLM,all year,30, ,NH ND VT NW NS NR L$ ,AZ
-110.854,31.490,Patagonia Lake State Park,SP,all year,72,3911,E DP 35ft FT DW SH RS ,AZ
