place_id,name,states,acres,owner_name,designation,ecoregion,ecoregion_rank,national_rank,rank_top500,in_top500,rank_top1000,in_top1000
900560,Tennessee National Wildlife Refuge,TN,11378,Unknown,National Wildlife Refuge,Interior Low Plateau,5,3277,314,TRUE,314,TRUE
5856,Everglades and Francis S. Taylor Wildlife Management Area,FL,669421,Trustees of the Internal Improvement Trust Fund,State Conservation Area,Tropical Florida,8,3312,,FALSE,500,TRUE
1920,Candian River - Kiowa National Grassland,NM,6175,US Forest Service,Inventoried Roadless Area,Southern Shortgrass Prairie,2,3314,252,TRUE,252,TRUE
3724,Garden Of The Gods Wilderness - Shawnee National Forest,IL,3955,US Forest Service,National Forest,Interior Low Plateau,6,3332,,FALSE,440,TRUE
5012,Natural Area High Island,MI,3584,Michigan Department of Natural Resources,State Conservation Area,Great Lakes,22,3342,,FALSE,999,TRUE
900617,Wichita Mountains Wildlife Refuge,OK,59184,U.S. Fish & Wildlife Service,National Wildlife Refuge,Central Mixed-Grass Prairie,5,3360,118,TRUE,118,TRUE
900146,Dale Hollow Recreation Area,"KY, TN",51056,Unknown,Recreation Area,Interior Low Plateau,7,3378,185,TRUE,185,TRUE
900028,Bear Island Wildlife Management Area,SC,9205,South Carolina Department of Natural Resources,State Conservation Area,South Atlantic Coastal Plain,7,3406,,FALSE,501,TRUE
5900,TOWNSEND WMA - Townsend Wildlife Management Area,GA,20505,Georgia Department of Natural Resources,State Conservation Area,South Atlantic Coastal Plain,8,3418,,FALSE,566,TRUE
6879,Current River Fee,MO,4038,The Nature Conservancy,Private Conservation,Ozarks,18,3420,,FALSE,1000,TRUE
900037,Beury Mountain Wildlife Management Area,WV,9263,WV Division of Natural Resources,Wildlife Management Area,Cumberlands And Southern Ridge And Valley,9,3421,,FALSE,502,TRUE
7909,Buryanek Game Production Area,SD,4657,State Fish and Wildlife,State Conservation Area,Dakota Mixed-Grass Prairie,5,3429,119,TRUE,119,TRUE
1082,Beaver Creek Wilderness - Daniel Boone National Forest,KY,4816,US Forest Service,National Forest,Cumberlands And Southern Ridge And Valley,10,3446,,FALSE,376,TRUE
3054,Pisgah State Park - Critria 1 lands,NH,4594,State of New Hampshire - DNCR/DFL + DPR,State Park,Lower New England / Northern Piedmont,2,3468,186,TRUE,186,TRUE
7251,Lake Okeechobee Sanctuaries,FL,8744,Trustees of the Internal Improvement Trust Fund,Private Conservation,Tropical Florida,9,3478,,FALSE,567,TRUE
6020,Beartown State Forest,NY,5762,NYS Department of Environmental Conservation,State Forest,St. Lawrence - Champlain Valley,3,3486,253,TRUE,253,TRUE
4033,Cheaha Wilderness - Talladega National Forest,AL,7314,US Forest Service,National Forest,Cumberlands And Southern Ridge And Valley,11,3523,,FALSE,787,TRUE
