"rank_top500","rank_top1000","place_id","name","owner","owner_name","designation","acres","eco_id","eco_name","states","facets","veg","footprint","landscape_score","national_rank","ecoregion_rank"
NULL,"918","3976","Carson - Iceberg - Stanislaus National Forest","UFS","US Forest Service","Inventoried Roadless Area","49836","17043","Sierra Nevada","CA","51","25","0.039","56.26",433,34
"491","919","4597","Stansbury Mountains - Wasatch National Forest","UFS","US Forest Service","Inventoried Roadless Area","39392","17093","Great Basin","UT","82","31","0.021","56.26",434,3
NULL,"920","5876","Independence River Wild Forest","SDC","NYS Department of Environmental Conservation","Nature","76595","17016","Northern Appalachian / Acadian","NY","17","31","0.073","56.18",449,57
"492","921","7598","Montana Fish, Wildlife and Parks","STA","Montana Fish, Wildlife and Parks","State Park","13953","17030","Canadian Rocky Mountains","MT","40","27","0.034","55.92",486,9
NULL,"922","3389","Sugarloaf South - Routt National Forest","UFS","US Forest Service","Inventoried Roadless Area","23162","17045","Southern Rocky Mountains","CO","53","26","0.052","55.83",495,41
NULL,"923","1156","Box-Death Hollow Wilderness - Dixie National Forest","UFS","US Forest Service","National Forest","24276","17091","Colorado Plateau","UT","46","27","0.010","55.22",583,26
NULL,"924","2267","Scapegoat Wilderness - Lolo National Forest","UFS","US Forest Service","National Forest","75405","17037","Middle Rockies - Blue Mountains","MT","32","33","0.001","55.15",601,29
NULL,"925","1423","Contiguous To Black - Gila National Forest","UFS","US Forest Service","Inventoried Roadless Area","106552","17027","Arizona-New Mexico Mountains","NM","28","36","0.042","54.33",744,20
NULL,"926","4357","Mount Nebo Wilderness - Uinta National Forest","UFS","US Forest Service","National Forest","26744","17048","Utah-Wyoming Rocky Mountains","UT","55","34","0.066","53.53",905,33
NULL,"927","828","Bald Mountain - Cherokee National Forest","UFS","US Forest Service","Inventoried Roadless Area","11676","17021","Southern Blue Ridge","NC, TN","23","11","0.170","53.13",1012,32
NULL,"928","2073","Split Rock - Lander Field Office","BLM","Bureau of Land Management","Wilderness Study Area","14075","17097","Wyoming Basins","WY","32","22","0.013","52.67",1150,18
NULL,"929","3867","Salt Creek - Six Rivers National Forest","UFS","US Forest Service","Inventoried Roadless Area","9478","17029","California North Coast","CA","30","15","0.027","52.40",1223,21
NULL,"930","7510","Land O'Lakes State Forest","SNR","Minnesota Department of Natural Resources","State Resource Management Area","22850","17023","Superior Mixed Forest","MN","13","22","0.072","51.73",1403,62
"493","931","4815","Little Picacho Wilderness - Yuma Field Office","BLM","Bureau of Land Management","National Public Lands
","2948","17095","Sonoran Desert","CA","26","12","0.004","51.63",1442,14
NULL,"932","2665","Wild and Scenic Rivers - Recreational - Mt. Hood National Forest","UFS","US Forest Service","Wild and Scenic River","16984","17049","West Cascades","OR","33","25","0.060","50.55",1858,37
NULL,"933","4539","Valley of Fire State Park","STL","Nevada State Parks","State Park","40010","17094","Mojave Desert","NV","41","9","0.028","49.69",2240,44
NULL,"934","2283","Black Mountain - Los Padres National Forest","UFS","US Forest Service","Inventoried Roadless Area","16786","17085","California Central Coast","CA","19","17","0.086","49.61",2277,40
NULL,"935","6119","Bud Love Wildlife Habitat Management Area","STA","State of Wyoming","State Conservation Area","7897","17072","Northern Great Plains Steppe","WY","31","23","0.063","49.20",2467,7
NULL,"936","5579","State Game Land 051","SFW","PA Game Commission","State Land","16938","17006","Central Appalachian Forest","PA","48","16","0.232","49.07",2528,53
NULL,"937","6121","Hungry Valley State Vehicular Recreation Area","SPR","California Department of Parks and Recreation","State Recreation Area","18227","17086","California South Coast","CA","54","17","0.140","49.02",2553,36
NULL,"938","547","Alvord Desert WSA - Burns Andrews Field Office","BLM","Bureau of Land Management","Wilderness Study Area","81326","17092","Columbia Plateau","OR","27","22","0.004","48.77",2654,73
NULL,"939","4877","State Game Land 012","SFW","PA Game Commission","State Land","24524","17010","High Allegheny Plateau","PA","17","18","0.121","48.62",2721,43
NULL,"940","2890","Richland Creek Wilderness - Ozark National Forest","UFS","US Forest Service","National Forest","10327","17018","Ozarks","AR","17","8","0.042","48.05",3007,6
NULL,"941","4304","Whiskeytown Shasta-Trinity - Trinity National Forest","UFS","US Forest Service","National Recreation Area","34093","17035","Klamath Mountains","CA","17","21","0.048","47.65",3187,42
NULL,"942","1204","Tunnison Mountain Wilderness Study Area - Eagle Lake Field Office","BLM","Bureau of Land Management","Wilderness Study Area","15930","17031","East Cascades - Modoc Plateau","CA","29","19","0.017","47.55",3231,53
NULL,"943","1034","Craig Lake State Park","SNR","Michigan Department of Natural Resources","State Park","8606","17009","Great Lakes","MI","9","21","0.019","47.22",3393,34
NULL,"944","6474","Hidden Valley Wildlife Management Area","SFW","VA Dept of Wildlife Resources","Wildlife Management Area","6239","17008","Cumberlands And Southern Ridge And Valley","VA","28","18","0.175","46.10",3826,12
"494","945","2677","Southern Nantahala Wilderness - Nantahala National Forest","UFS","US Forest Service","National Forest","11682","17021","Southern Blue Ridge","GA, NC","30","10","0.058","63.67",75,3
"495","946","7124","Nash Stream Forest","STA","NH Department of Resources & Economic Development","State Forest","28810","17016","Northern Appalachian / Acadian","NH","33","27","0.045","62.27",92,4
NULL,"947","3115","Nine Mile Canyon - Price Field Office","BLM","Bureau of Land Management","Area of Critical Environmental Concern","23622","17047","Utah High Plateaus","UT","63","29","0.053","60.75",139,18
NULL,"948","3542","Sangre De Cristo Wilderness - San Isabel National Forest","UFS","US Forest Service","National Forest","89433","17045","Southern Rocky Mountains","CO","50","28","0.026","57.57",325,17
NULL,"949","3094","Sheridan Mountain - Prescott National Forest","UFS","US Forest Service","Inventoried Roadless Area","37580","17088","Apache Highlands","AZ","27","21","0.017","56.96",367,39
"496","950","1335","Mission Mountains Wilderness - Flathead National Forest","UFS","US Forest Service","National Forest","74481","17030","Canadian Rocky Mountains","MT","36","26","0.006","56.53",405,8
NULL,"951","1425","Devils Creek - Gila National Forest","UFS","US Forest Service","Inventoried Roadless Area","89169","17027","Arizona-New Mexico Mountains","NM","38","35","0.035","55.99",478,13
NULL,"952","3809","Monarch Wilderness - Sierra National Forest","UFS","US Forest Service","National Forest","18560","17043","Sierra Nevada","CA","36","25","0.003","55.53",537,38
NULL,"953","7615","Mt. Haggin Wildlife Management Area","STA","Montana Fish, Wildlife and Parks","State Conservation Area","55205","17037","Middle Rockies - Blue Mountains","MT","80","29","0.059","55.20",589,26
NULL,"954","515","Browns Park National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","11902","17097","Wyoming Basins","CO, UT","45","24","0.046","53.52",907,13
NULL,"955","7891","Foot Hills State Forest","SNR","Minnesota Department of Natural Resources","State Resource Management Area","7010","17023","Superior Mixed Forest","MN","18","22","0.076","53.20",995,43
NULL,"956","110","Eden Valley Wilderness Study Area - Arcata Field Office","BLM","Bureau of Land Management","Wilderness Study Area","5972","17029","California North Coast","CA","19","21","0.026","53.01",1039,17
NULL,"957","1494","Great Basin National Park","NPS","National Park Service","National Park","76983","17093","Great Basin","NV","47","29","0.032","51.77",1383,53
NULL,"958","617","Worm Creek - Cache National Forest","UFS","US Forest Service","Inventoried Roadless Area","41511","17048","Utah-Wyoming Rocky Mountains","ID","50","28","0.050","51.75",1393,56
NULL,"959","1412","Tatoosh Wilderness - Gifford Pinchot National Forest","UFS","US Forest Service","National Forest","14006","17049","West Cascades","WA","49","23","0.056","51.61",1451,31
NULL,"960","1847","Parunuweap Canyon - Kanab Field Office","BLM","Bureau of Land Management","Wilderness Study Area","30114","17091","Colorado Plateau","UT","17","25","0.007","50.76",1777,67
NULL,"961","2321","Stanley Mountain - Los Padres National Forest","UFS","US Forest Service","Inventoried Roadless Area","14092","17085","California Central Coast","CA","18","16","0.067","49.79",2184,39
