"place_id","name","owner","eco_id","eco_name","states","acres","facets","veg","footprint","gap_min","gap_max","national_rank","ecoregion_rank","score_veg","score_facet_pct_eco","score_evt_pct_eco","score_intact","score_mgmt","score_desig","landscape_score","selection_score","landform_diff_min","veg_diff_min","combined_diff_50_50","complementarity_acres","quality_cutoff_rank","candidate_pool_size","weight_complementarity","weight_facets","weight_veg","weight_intact","weight_facet_pct_eco","weight_evt_pct_eco","weight_mgmt","weight_desig","run_id","run_ts","run_label","rank_top1000"
"1008","Mt. Wrightson Wilderness - Coronado National Forest","UFS",17088,"Apache Highlands","AZ","25139","34","22","0.017",1,1,"147","15","36.2","41.4","30.2","97.7",100,25,"62.65","64.87","10.0","12.2","11.1","11.1",23,115,"0.20","5","5","30","20","20","15","5","708","2026-03-24 16:57:30.954206","iterative_landform_veg_top_pct_floor_v2","828"
"4441","Uncompahgre Wilderness - Uncompahgre National Forest","UFS",17045,"Southern Rocky Mountains","CO","98811","34","32","0.008",1,1,"226","14","53.4","17.9","39.7","98.9",100,25,"61.07","62.27","1.0","11.0","6.0","6.0",114,570,"0.20","5","5","30","20","20","15","5","673","2026-03-24 16:54:58.689328","iterative_landform_veg_top_pct_floor_v2","829"
"3937","Deep Creek North Wilderness - St. George Field Office","BLM",17047,"Utah High Plateaus","UT","3948","40","28","0.051",1,1,"246","26","46.6","18.5","46.8","93.0",100,25,"60.68","64.08","29.9","4.1","17.0","17.0",27,132,"0.20","5","5","30","20","20","15","5","725","2026-03-24 16:58:44.039322","iterative_landform_veg_top_pct_floor_v2","830"
"900182","Five Ponds Wilderness","SDC",17016,"Northern Appalachian / Acadian","NY","128996","17","29","0.043",1,1,"258","20","48.3","24.7","40.9","94.1",100,25,"60.48","62.64","16.5","5.0","10.8","10.8",41,203,"0.20","5","5","30","20","20","15","5","724","2026-03-24 16:58:39.596227","iterative_landform_veg_top_pct_floor_v2","831"
"4060","Palisades WSA - Targhee National Forest","UFS",17048,"Utah-Wyoming Rocky Mountains","ID, WY","153329","124","27","0.076",1,2,"274","11","44.8","34.7","28.1","89.6",100,0,"60.26","61.20","5.2","4.2","4.7","4.7",62,309,"0.20","5","5","30","20","20","15","5","680","2026-03-24 16:55:30.382072","iterative_landform_veg_top_pct_floor_v2","832"
"3456","West Big Hole IRA - Salmon National Forest","UFS",17037,"Middle Rockies - Blue Mountains","ID, MT","81466","83","35","0.054",2,2,"375","14","58.6","23.0","39.7","92.6",90,0,"59.14","60.06","3.7","5.5","4.6","4.6",92,460,"0.20","5","5","30","20","20","15","5","675","2026-03-24 16:55:08.153179","iterative_landform_veg_top_pct_floor_v2","833"
"2280","Bear Canyon - Los Padres National Forest","UFS",17085,"California Central Coast","CA","12569","24","20","0.011",1,1,"401","13","32.8","18.6","41.4","98.5",100,0,"58.86","59.48","4.1","2.1","3.1","3.1",19,91,"0.20","5","5","30","20","20","15","5","730","2026-03-24 16:59:05.665572","iterative_landform_veg_top_pct_floor_v2","834"
"932","West Clear Creek Wilderness - Coconino National Forest","UFS",17027,"Arizona-New Mexico Mountains","AZ","15465","36","29","0.018",1,1,"450","14","48.3","18.4","29.6","97.5",100,25,"58.53","61.67","19.4","12.0","15.7","15.7",24,119,"0.20","5","5","30","20","20","15","5","714","2026-03-24 16:57:56.735717","iterative_landform_veg_top_pct_floor_v2","835"
"4791","Sky Lakes Wilderness - Winema National Forest","UFS",17049,"West Cascades","OR","35175","34","26","0.010",1,1,"514","17","43.1","10.6","34.4","98.6",100,25,"57.95","60.03","18.9","1.9","10.4","10.4",25,122,"0.20","5","5","30","20","20","15","5","666","2026-03-24 16:54:27.211357","iterative_landform_veg_top_pct_floor_v2","836"
"845","Sampson Mountain Wilderness - Cherokee National Forest","UFS",17021,"Southern Blue Ridge","TN","8003","21","8","0.096",1,1,"517","17","12.1","57.3","15.0","86.8",100,25,"57.94","58.52","4.7","1.1","2.9","2.9",20,97,"0.20","5","5","30","20","20","15","5","679","2026-03-24 16:55:26.055803","iterative_landform_veg_top_pct_floor_v2","837"
